extscan01,192.168.122.205,48426
extscan02,192.168.122.75,48476
extscan03,192.168.122.206,48626
extscan04,192.168.122.207,48451
extscan05,192.168.122.194,48576
extscan06,192.168.122.142,48401
extscan07,192.168.122.232,48376
extscan08,192.168.122.33,48401
extscan09,192.168.122.243,48576
extscan10,192.168.122.195,48451
extscan11,192.168.122.152,48526
extscan12,192.168.122.93,48451
extscan13,192.168.122.186,48626
extscan14,192.168.122.151,48601
extscan15,192.168.122.44,48401
extscan16,192.168.122.166,48576
extscan17,192.168.122.40,48651
extscan18,192.168.122.136,48451
extscan19,192.168.122.187,48276
extscan20,192.168.122.171,48551
